ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,PRICE,AMAZON,0.66667,0.05674,0.10458,1

ROUGE-1+StopWordRemoval,PRICE,AMAZON,0.69231,0.05000,0.09326,1

ROUGE-2+StopWordRemoval,PRICE,AMAZON,0.09091,0.00588,0.01105,1

ROUGE-SU4+StopWordRemoval,PRICE,AMAZON,0.28889,0.01625,0.03077,1

ROUGE-L+StopWordRemoval,SOUND,IPOD,0.57143,0.03306,0.06250,1

ROUGE-1+StopWordRemoval,SOUND,IPOD,0.71429,0.02907,0.05587,1

ROUGE-2+StopWordRemoval,SOUND,IPOD,0.20000,0.00617,0.01198,1

ROUGE-SU4+StopWordRemoval,SOUND,IPOD,0.43750,0.00921,0.01804,1

ROUGE-L+StopWordRemoval,BATTERY-LIFE,NETBOOK,0.62500,0.02632,0.05051,1

ROUGE-1+StopWordRemoval,BATTERY-LIFE,NETBOOK,0.66667,0.02326,0.04494,1

ROUGE-2+StopWordRemoval,BATTERY-LIFE,NETBOOK,0.28571,0.00806,0.01569,1

ROUGE-SU4+StopWordRemoval,BATTERY-LIFE,NETBOOK,0.40000,0.00840,0.01646,1

ROUGE-L+StopWordRemoval,ROOM,HOLIDAY,0.25000,0.00656,0.01278,1

ROUGE-1+StopWordRemoval,ROOM,HOLIDAY,0.25000,0.00446,0.00877,1

ROUGE-2+StopWordRemoval,ROOM,HOLIDAY,0.00000,0.00000,0.00000,1

ROUGE-SU4+StopWordRemoval,ROOM,HOLIDAY,0.08696,0.00093,0.00185,1

ROUGE-L+StopWordRemoval,SPEED,WINDOWS7.TXT.SYS.HEAD5,0.20000,0.02013,0.03659,1

ROUGE-1+StopWordRemoval,SPEED,WINDOWS7.TXT.SYS.HEAD5,0.18750,0.01266,0.02372,1

ROUGE-2+StopWordRemoval,SPEED,WINDOWS7.TXT.SYS.HEAD5,0.07692,0.00441,0.00833,1

ROUGE-SU4+StopWordRemoval,SPEED,WINDOWS7.TXT.SYS.HEAD5,0.08000,0.00369,0.00705,1

